DESIGNATION MATERIEL;"CATEGORIE";"SOUS CATEGORIE";"N° INV. IRAP";"DESCRIPTION";"Organisme (UPS ou CNRS)";"INVENTORIABLE";"TECHNIQUE";"STATUT";"NOM du FOURNISSEUR";"MONTANT";"ORIGINE CREDITS";"CDE";"CODE COMPTABLE";"REF. MATERIEL - N° série";"groupe thematique";"groupe technique";"Numéro inventaire organisme";"Lieu de stockage";"description lieu";"NOM RESPONSABLE PROJET";"Mail responsable";"Date de mise en service"
1 TETE OPTIQUE PILAS 400;"OPTIQUE";;"IRAP03-0209";;"CNRS";;;;;6077,00;;;21540000;;;;"384";;;;;"02/09/2003"
GENERATEUR DIGITAL PILAS;"INSTRUMENTATION";;"IRAP03-0210";;"CNRS";;;;;4423,00;;;21540000;;;;"385";;;;;"02/09/2003"
PC INDUSTRIEL ANALYSEUR;"INSTRUMENTATION";;"IRAP03-0211";;"CNRS";;;;;22603,00;;;21540000;;;;"385";;;;;"23/09/2003"
FABRICATION OUTILS TESTS;"INSTRUMENTATION";;"IRAP03-0212";;"CNRS";;;;;34100,00;;;21540000;;;;"386";;;;;"24/09/2003"
DETENDEUR DLRS 240;"INSTRUMENTATION";;"IRAP03-0213";;"CNRS";;;;;972,40;;;21540000;;;;"386";;;;;"13/10/2003"
COMPOSANT TSC2020F 20MA;"INSTRUMENTATION";;"IRAP03-0214";;"CNRS";;;;;2320,00;;;21540000;;;;"387";;;;;"28/10/2003"
PORTABLE COMPAQ EVO N800;"INFORMATIQUE";;"IRAP03-0215";;"CNRS";;;;;2133,15;;;21830000;;;;"387";;;;;"29/10/2003"
OPTIPLEX GX270;"INFORMATIQUE";;"IRAP03-0216";;"CNRS";;;;;1331,63;;;21830000;;;;"388";;;;;"12/11/2003"
OPTIPLEX GX270;"INFORMATIQUE";;"IRAP03-0217";;"CNRS";;;;;1331,63;;;21830000;;;;"388";;;;;"12/11/2003"
CARTE ADIADDS 2102 EZICE;"INSTRUMENTATION";;"IRAP03-0218";;"CNRS";;;;;2812,20;;;21540000;;;;"389";;;;;"13/11/2003"
TSX351OP + TDS3BAT;;;"IRAP03-0219";;"CNRS";;;;;1449,63;;;21540000;;;;"389";;;;;"26/11/2003"
LATITUDE D800;"INFORMATIQUE";;"IRAP03-0220";;"CNRS";;;;;2318,06;;;21830000;;;;"390";;;;;"26/11/2003"
INSPIRON 5100;"INFORMATIQUE";;"IRAP03-0221";;"CNRS";;;;;1813,80;;;21830000;;;;"391";;;;;"09/12/2003"
POWERBOOK G4 1;"INFORMATIQUE";;"IRAP03-0222";;"CNRS";;;;;4384,55;;;21830000;;;;"392";;;;;"15/12/2003"
BI PROCESSEUR PRESENTATI;"INFORMATIQUE";;"IRAP03-0223";;"CNRS";;;;;3000,00;;;21830000;;;;"392";;;;;"19/12/2003"
Générateur de fonction AFG320 Abitrary Function Generator;"INSTRUMENTATION";;"IRAP03-0224";;;;;;;;;;;"J311754";;;"14061167000--799/09";;;"THOCAVEN";;"2003 Venus Express"
PORTABLE INSPIRON 1100;"INFORMATIQUE";;"IRAP04-0224";;"CNRS";;;;;1269,00;;;21830000;;;;"393";;;;;"10/01/2004"
OPTIPLEX GX270;"INFORMATIQUE";;"IRAP04-0225";;"CNRS";;;;;1900,00;;;21830000;;;;"393";;;;;"13/01/2004"
OPTIPLEX GX270;"INFORMATIQUE";;"IRAP04-0226";;"CNRS";;;;;1460,93;;;21830000;;;;"394";;;;;"23/01/2004"
OPTIPLEX GX 270;"INFORMATIQUE";;"IRAP04-0227";;"CNRS";;;;;1460,93;;;21830000;;;;"394";;;;;"23/01/2004"
OPTIPLEX GX270;"INFORMATIQUE";;"IRAP04-0228";;"CNRS";;;;;1460,93;;;21830000;;;;"395";;;;;"23/01/2004"
OPTIPLEX GX270;"INFORMATIQUE";;"IRAP04-0229";;"CNRS";;;;;1460,93;;;21830000;;;;"395";;;;;"23/01/2004"
OPTIPLEX GX270;"INFORMATIQUE";;"IRAP04-0230";;"CNRS";;;;;1460,93;;;21830000;;;;"396";;;;;"23/01/2004"
LATITUDE D600;"INFORMATIQUE";;"IRAP04-0231";;"CNRS";;;;;3249,20;;;21830000;;;;"397";;;;;"11/02/2004"
LATITUDE D600;"INFORMATIQUE";;"IRAP04-0232";;"CNRS";;;;;3249,20;;;21830000;;;;"398";;;;;"11/02/2004"
OPTIPLEX GX270;"INFORMATIQUE";;"IRAP04-0233";;"CNRS";;;;;1654,13;;;21830000;;;;"398";;;;;"11/02/2004"
ORDINATEUR PORTABLE;"INFORMATIQUE";;"IRAP04-0234";;"CNRS";;;;;2744,37;;;21830000;;;;"399";;;;;"17/02/2004"
ORDINATEUR LATITUDE D600;"INFORMATIQUE";;"IRAP04-0235";;"CNRS";;;;;2438,00;;;21830000;;;;"399";;;;;"18/02/2004"
ALIMENTATION BIN/POWER;"ELECTRONIQUE";;"IRAP04-0236";;"CNRS";;;;;2688,50;;;21540000;;;;"400";;;;;"23/02/2004"
OPTIPLEX GX270;"INFORMATIQUE";;"IRAP04-0237";;"CNRS";;;;;1877,43;;;21830000;;;;"400";;;;;"03/03/2004"
CAMERA NUMERIQUE;"ELECTRONIQUE";;"IRAP04-0238";;"CNRS";;;;;1789,00;;;21540000;;;;"401";;;;;"12/03/2004"
1 OSCILLOSCOPE NUMERIQUE;"ELECTRONIQUE";;"IRAP04-0239";;"CNRS";;;;;3995,00;;;21540000;;;;"401";;;;;"15/03/2004"
QI ATHLON XP 3000;"INFORMATIQUE";;"IRAP04-0240";;"CNRS";;;;;1210,00;;;21830000;;;;"402";;;;;"29/03/2004"
RAID SCSI/IDE TRANSTEC;"INFORMATIQUE";;"IRAP04-0241";;"CNRS";;;;;8500,00;;;21830000;;;;"403";;;;;"29/03/2004"
PM G5 1,6 GHZ SUPERDRIVE;"INFORMATIQUE";;"IRAP04-0242";;"CNRS";;;;;3149,00;;;21830000;;;;"403";;;;;"05/04/2004"
MICRO ORDINATEUR PORTABL;"INFORMATIQUE";;"IRAP04-0243";;"CNRS";;;;;1303,29;;;21830000;;;;"404";;;;;"13/04/2004"
ARES;;;"IRAP04-0244";;"CNRS";;;;;3991,60;;;21830000;;;;"404";;;;;"13/04/2004"
PRECISION 360 CHASSIS;;;"IRAP04-0245";;"CNRS";;;;;1085,90;;;21830000;;;;"405";;;;;"13/04/2004"
1 APPAREIL DE CONTROLE;"INSTRUMENTATION";;"IRAP04-0246";;"CNRS";;;;;2595,60;;;21540000;;;;"405";;;;;"14/04/2004"
POWEREDGE 2600 XEON;"INFORMATIQUE";;"IRAP04-0247";;"CNRS";;;;;3979,12;;;21830000;;;;"406";;;;;"14/04/2004"
DELL OPTIPLEX GX270;"INFORMATIQUE";;"IRAP04-0248";;"CNRS";;;;;1207,35;;;21830000;;;;"406";;;;;"16/04/2004"
POMPE A VIDE TSH 071 DN;"INSTRUMENTATION";;"IRAP04-0249";;"CNRS";;;;;4500,00;;;21540000;;;;"407";;;;;"20/04/2004"
PC BUREAU GX270 SMTPIV;"INFORMATIQUE";;"IRAP04-0250";;"CNRS";;;;;1528,94;;;21830000;;;;"407";;;;;"23/04/2004"
LENTILLE COMPOSITE LASER;"OPTIQUE";;"IRAP04-0251";;"CNRS";;;;;3900,00;;;21540000;;;;"407";;;;;"28/04/2004"
RECIPIENT AGIL 2;;;"IRAP04-0252";;"CNRS";;;;;1397,91;;;21540000;;;;"408";;;;;"03/05/2004"
LATITUDE D600 PENTIUM;"INFORMATIQUE";;"IRAP04-0253";;"CNRS";;;;;2740,90;;;21830000;;;;"CNRS 410";;;;;"05/05/2004"
ORDI LATITUDE D800;"INFORMATIQUE";;"IRAP04-0254";;"CNRS";;;;;2931,26;;;21830000;;;;"411";;;;;"12/05/2004"
PC TRIMING BOARD;"INFORMATIQUE";;"IRAP04-0255";;"CNRS";;;;;2100,00;;;21830000;;;;"412";;;;;"14/05/2004"
LECTEUR DLT8000 TRANSTEC;"INFORMATIQUE";;"IRAP04-0256";;"CNRS";;;;;2332,00;;;21830000;;;;"413";;;;;"14/05/2004"
1 ALIMENTATION RACK 19 P;"INFORMATIQUE";;"IRAP04-0257";;"CNRS";;;;;1060,00;;;21540000;;;;"CNRS 414";;;;;"17/05/2004"
POWEREDGE 2600 XEON 306;"INFORMATIQUE";;"IRAP04-0258";;"CNRS";;;;;5010,70;;;21830000;;;;"415";;;;;"18/05/2004"
ORDI LATITUDE PORTABLE;"INFORMATIQUE";;"IRAP04-0259";;"CNRS";;;;;3021,36;;;21830000;;;;" 416";;;;;"18/05/2004"
3C17700-ME CONVERTISSEUR;"INSTRUMENTATION";;"IRAP04-0260";;"CNRS";;;;;4607,00;;;21830000;;;;"417";;;;;"11/06/2004"
SYSTEME RAID SCSI/IDE;"INFORMATIQUE";;"IRAP04-0261";;"CNRS";;;;;9495,00;;;21830000;;;;"418";;;;;"15/06/2004"
Optometer P9710;"INSTRUMENTATION";;"IRAP04-0262";;;;;;;;;;;"2994M";;;"419";;;"BONNAMY";;01/07/2004
TRANSTEC 1200 LOW NOISE;"INFORMATIQUE";;"IRAP04-0263";;"CNRS";;;;;1238,00;;;21830000;;;;"420";;;;;"12/07/2004"
LATITUDE D800 PENTIUM;"INFORMATIQUE";;"IRAP04-0264";;"CNRS";;;;;2249,21;;;21830000;;;;"421";;;;;"12/07/2004"
SUN FIRE V240 ACCELERAT;"INFORMATIQUE";;"IRAP04-0265";;"CNRS";;;;;6023,00;;;21830000;;;;"422";;;;;"15/07/2004"
PRECISION 360 MINI TOWER;"INFORMATIQUE";;"IRAP04-0266";;"CNRS";;;;;927,96;;;21830000;;;;"423";;;;;"15/07/2004"
Tournevis dynamométrique ;"INSTRUMENTATION";;"IRAP04-0267";;;;;;;;;;;"D020184";;;"424";;;"LE COMTE";;20/07/2004
PRECISION 360;"INFORMATIQUE";;"IRAP04-0268";;"CNRS";;;;;847,96;;;21830000;;;;"425";;;;;"23/07/2004"
IBM THINK PAD T41;"INSTRUMENTATION";;"IRAP04-0269";;"CNRS";;;;;2165,00;;;21830000;;;;"426";;;;;"26/07/2004"
CLIMATISEUR;"LOGISTIQUE";;"IRAP04-0270";;"CNRS";;;;;6198,00;;;21540000;;;;"427";;;;;"27/07/2004"
OPTOMETRE TETE DETECTION;"INSTRUMENTATION";;"IRAP04-0271";;"CNRS";;;;;2296,67;;;21540000;;;;"428";;;;;"28/07/2004"
IBM THINK PAD X31;"INSTRUMENTATION";;"IRAP04-0272";;"CNRS";;;;;2290,00;;;21830000;;;;"428/1";;;;;"28/07/2004"
PRESICION 650N SERIE;"INFORMATIQUE";;"IRAP04-0273";;"CNRS";;;;;3748,63;;;21830000;;;;"429/2010";;;;;"02/08/2004"
SYSTEME RAID PREMIUM;"INFORMATIQUE";;"IRAP04-0274";;"CNRS";;;;;2000,00;;;21830000;;;;"430";;;;;"25/11/2004"
DELL LATTITUDE D600;"INFORMATIQUE";;"IRAP04-0275";;"CNRS";;;;;2030,84;;;21830000;;;;"4290";;;;;"02/08/2004"
OPTIPLEX GX270N;"INFORMATIQUE";;"IRAP04-0276";;"CNRS";;;;;1289,13;;;21830000;;;;"4291";;;;;"02/08/2004"
POWEREDGE 2600;"INFORMATIQUE";;"IRAP04-0277";;"CNRS";;;;;4249,20;;;21830000;;;;"4292";;;;;"03/09/2004"
LATITUDE D400 PENTIUM M;"INFORMATIQUE";;"IRAP04-0278";;"CNRS";;;;;1636,75;;;21830000;;;;"4293";;;;;"15/09/2004"
BAIE DE SERVEUR TRANSTEC;"INFORMATIQUE";;"IRAP04-0279";;"CNRS";;;;;1409,00;;;21830000;;;;"4294";;;;;"28/09/2004"
LATITUDE 100L DELL;"INFORMATIQUE";;"IRAP04-0280";;"CNRS";;;;;1242,67;;;21830000;;;;"4295";;;;;"29/09/2004"
PRECISION 3.GO;"INFORMATIQUE";;"IRAP04-0281";;"CNRS";;;;;893,96;;;21830000;;;;"4295";;;;;"01/10/2004"
OSCILLOSCOPE COULEUR 4;"ELECTRONIQUE";;"IRAP04-0282";;"CNRS";;;;;2931,28;;;21540000;;;;"4296";;;;;"26/10/2004"
PE 750 SATA PENTIUM 4;"INFORMATIQUE";;"IRAP04-0283";;"CNRS";;;;;1248,80;;;21830000;;;;"4296";;;;;"04/11/2004"
LATITUDE D600;"INFORMATIQUE";;"IRAP04-0284";;"CNRS";;;;;1523,39;;;21830000;;;;"4297";;;;;"10/11/2004"
OPTIPLEX GX280 P4 530;"INFORMATIQUE";;"IRAP04-0285";;"CNRS";;;;;983,62;;;21830000;;;;"4297";;;;;"19/11/2004"
POWERBOOK G4 256 MO;"INFORMATIQUE";;"IRAP04-0286";;"CNRS";;;;;2595,61;;;21830000;;;;"4298";;;;;"24/11/2004"
MONITEUR APPLE CINEMA;"INFORMATIQUE";;"IRAP04-0287";;"CNRS";;;;;1073,39;;;21830000;;;;"4298";;;;;"24/11/2004"
UNITE CENTRAL POUR MANIP;"INSTRUMENTATION";;"IRAP04-0288";;"CNRS";;;;;1981,77;;;21830000;;;;"4299";;;;;"24/11/2004"
SYSTEME RAID PREMIUM;"INFORMATIQUE";;"IRAP04-0289";;"CNRS";;;;;7000,00;;;21830000;;;;"4299";;;;;"25/11/2004"
OPTIPLEX GX 280 P4 520;"INFORMATIQUE";;"IRAP04-0290";;"CNRS";;;;;2649,00;;;21830000;;;;"4300";;;;;"25/11/2004"
HP DESIGNJET 500PS;"INFORMATIQUE";;"IRAP04-0291";;"CNRS";;;;;5239,96;;;21540000;;;;"4301";;;;;"01/12/2004"
CAMERA MOTICAM 2000;"INFORMATIQUE";;"IRAP04-0292";;"CNRS";;;;;913,55;;;21540000;;;;"4302";;;;;"01/12/2004"
PORTABLE ACER FERRARI;"INFORMATIQUE";;"IRAP04-0293";;"CNRS";;;;;2259,75;;;21830000;;;;"4303";;;;;"01/12/2004"
OPTIPLEX GX280 P4 530;"INFORMATIQUE";;"IRAP04-0294";;"CNRS";;;;;1029,52;;;21830000;;;;"4304";;;;;"01/12/2004"
LATITUDE D600 P M 745;"INFORMATIQUE";;"IRAP04-0295";;"CNRS";;;;;1577,79;;;21830000;;;;"4305";;;;;"01/12/2004"
VANNE VIP 20-0.01;"INSTRUMENTATION";;"IRAP04-0296";;"CNRS";;;;;1658,42;;;21540000;;;;"4306";;;;;"03/12/2004"
PRECISION 370 P4;"INFORMATIQUE";;"IRAP04-0297";;"CNRS";;;;;1914,71;;;21830000;;;;"4307";;;;;"03/12/2004"
PM G5 DP 1.8 GHZ 256MO;"INFORMATIQUE";;"IRAP04-0298";;"CNRS";;;;;3221,00;;;21830000;;;;"4308";;;;;"10/12/2004"
OPTIPLEX GX280 P4 530;"INFORMATIQUE";;"IRAP04-0299";;"CNRS";;;;;983,62;;;21830000;;;;"4309";;;;;"15/12/2004"
PCI INTERFACE BOARD;"INSTRUMENTATION";;"IRAP04-0300";;"CNRS";;;;;2280,00;;;21540000;;;;"4310";;;;;"15/12/2004"
UNITE DE TRANSLATION MT;"INSTRUMENTATION";;"IRAP04-0301";;"CNRS";;;;;2247,52;;;21540000;;;;"4311";;;;;"16/12/2004"
N 3 COM SWITCH FAST ETHE;"INFORMATIQUE";;"IRAP04-0302";;"CNRS";;;;;3503,43;;;21540000;;;;"4312";;;;;"17/12/2004"
PE750 SATA P 4 2.8GHZ;"INFORMATIQUE";;"IRAP04-0303";;"CNRS";;;;;1250,00;;;21830000;;;;"4313";;;;;"17/12/2004"
CARTE PCI GENERATEUR;"INSTRUMENTATION";;"IRAP04-0304";;"CNRS";;;;;3561,00;;;21830000;;;;"4314";;;;;"21/12/2004"
SERVEUR BI-PRO RACK 3U;"INFORMATIQUE";;"IRAP04-0305";;"CNRS";;;;;5740,00;;;21540000;;;;"4315";;;;;"24/12/2004"
PE 2850 XEON 2.8GHZ;"INFORMATIQUE";;"IRAP04-0306";;"CNRS";;;;;3500,00;;;21830000;;;;"4316";;;;;"24/12/2004"
PE 2800 XEON 2.8 GHZ;"INFORMATIQUE";;"IRAP04-0307";;"CNRS";;;;;5222,80;;;21830000;;;;"4317";;;;;"24/12/2004"
PE 2800 ZEON 2.8 GHZ;"INFORMATIQUE";;"IRAP04-0308";;"CNRS";;;;;4401,20;;;21830000;;;;"4318";;;;;"24/12/2004"
Amplificateur TCPA300  Amplifier for current probe;"INSTRUMENTATION";;"IRAP05-0309";;;;;;;;;;;;;;"29061078000--128";;;"SERAN ET THOCAVEN";;"2005 Chemcam"
Sondes P6015A High Voltage Probe;"INSTRUMENTATION";;"IRAP05-0310";;"CNRS";;;;;;;;;;;;"14061287000--129BIS";;;"SERAN ET THOCAVEN";;"2005 Chemcam"
RECEPTEUR 10KHZ/3 GHZ;"INSTRUMENTATION";;"IRAP05-0311";;"CNRS";;;;;2010,87;;;21540000;;;;"432";;;;;"21/01/2005"
SLICER BOWEN;"INSTRUMENTATION";;"IRAP05-0312";;"CNRS";;;;;4240,00;;;21540000;;;;"433";;;;;"09/02/2005"
LAME RETARD CRISTAUX OPT;"OPTIQUE";;"IRAP05-0313";;"CNRS";;;;;8735,00;;;21540000;;;;"434";;;;;"09/05/2005"
PORTABLE SAMSUNG;"INFORMATIQUE";;"IRAP05-0314";;"CNRS";;;;;1895,40;;;21830000;;;;"435";;;;;"11/05/2005"
PORTABLE SONY VGN 53XP2;"INFORMATIQUE";;"IRAP05-0315";;"CNRS";;;;;3292,64;;;21830000;;;;"436";;;;;"16/05/2005"
DELL PRECISION 370 MT;"INFORMATIQUE";;"IRAP05-0316";;"CNRS";;;;;2689,02;;;21830000;;;;"437";;;;;"20/05/2005"
IMPRIMANTE HP COLOR;"INFORMATIQUE";;"IRAP05-0317";;"CNRS";;;;;1270,90;;;21830000;;;;"438";;;;;"24/10/2005"
PUMA 3144/CALAS1;"INSTRUMENTATION";;"IRAP05-0318";;"CNRS";;;;;4626,00;;;21540000;;;;"439";;;;;"01/06/2005"
HP COMPAQ BUSINESS;"INFORMATIQUE";;"IRAP05-0319";;"CNRS";;;;;1369,55;;;21830000;;;;"440";;;;;"06/06/2005"
DOUBLET L1-TRIPLET L2;"OPTIQUE";;"IRAP05-0320";;"CNRS";;;;;3551,00;;;21540000;;;;"441";;;;;"14/06/2005"
CRYOCODER K548 ASSY;"INSTRUMENTATION";;"IRAP05-0321";;"CNRS";;;;;17600,00;;;21540000;;;;"442";;;;;"16/06/2005"
2 CELLULLES POTASSIUM;"OPTIQUE";;"IRAP05-0322";;"CNRS";;;;;9698,16;;;21540000;;;;"443";;;;;"21/06/2005"
TRIPLET A EN MONTURE AR;"OPTIQUE";;"IRAP05-0323";;"CNRS";;;;;2540,00;;;21540000;;;;"444";;;;;"28/06/2005"
DELL PRECISION 370;"INFORMATIQUE";;"IRAP05-0324";;"CNRS";;;;;1193,02;;;21830000;;;;"445";;;;;"01/07/2005"
ECLATEUR MODELE GP-31B;"ELECTRONIQUE";;"IRAP05-0325";;"CNRS";;;;;1145,67;;;21540000;;;;"445";;;;;"08/07/2005"
CHARGE ELECTRON DC-300W;"ELECTRONIQUE";;"IRAP05-0326";;"CNRS";;;;;1088,00;;;21540000;;;;"446";;;;;"12/07/2005"
OPTIPLEX GX280;"INFORMATIQUE";;"IRAP05-0327";;"CNRS";;;;;1190,00;;;21540000;;;;"447";;;;;"12/07/2005"
DETECTEUR EVA SYSTEMES;"INSTRUMENTATION";;"IRAP05-0328";;"CNRS";;;;;1663,12;;;21540000;;;;"448";;;;;"12/07/2005"
OSCILLOSCOPE NUMERIQUE;"ELECTRONIQUE";;"IRAP05-0329";;"CNRS";;;;;6171,00;;;21540000;;;;"449";;;;;"22/07/2005"
DELL PRECISION 370;"INFORMATIQUE";;"IRAP05-0330";;"CNRS";;;;;2164,60;;;21830000;;;;"450";;;;;"27/07/2005"
LATITUDE D610;"INFORMATIQUE";;"IRAP05-0331";;"CNRS";;;;;1750,40;;;21830000;;;;"451";;;;;"03/08/2005"
CORRECTEUR DISPER ATMOSP;"OPTIQUE";;"IRAP05-0332";;"CNRS";;;;;3270,00;;;21540000;;;;"452";;;;;"01/09/2005"
DELL PRECISION 670 MT;"INFORMATIQUE";;"IRAP05-0333";;"CNRS";;;;;1917,00;;;21830000;;;;"453";;;;;"01/09/2005"
GENERATEUR ARBITRAIRE 2;"INSTRUMENTATION";;"IRAP05-0334";;"CNRS";;;;;2314,70;;;21540000;;;;"454";;;;;"07/09/2005"
DELL PRECISION 380;"INFORMATIQUE";;"IRAP05-0335";;"CNRS";;;;;1081,50;;;21830000;;;;"455";;;;;"07/09/2005"
DELL LATITUDE D810;"INFORMATIQUE";;"IRAP05-0336";;"CNRS";;;;;1289,10;;;21830000;;;;"456";;;;;"13/09/2005"
APPAREIL DE SOUFFLAGE;"INSTRUMENTATION";;"IRAP05-0337";;"CNRS";;;;;21219,12;;;21540000;;;;"457";;;;;"14/09/2005"
DETECTEUR SI FD150-18;"INSTRUMENTATION";;"IRAP05-0338";;"CNRS";;;;;1377,00;;;21540000;;;;"458";;;;;"15/09/2005"
TURBOVAC 50 DN 63 CF;"INSTRUMENTATION";;"IRAP05-0339";;"CNRS";;;;;1415,00;;;21540000;;;;"459";;;;;"26/09/2005"
CYPLUPA 4000 EVAL;"INSTRUMENTATION";;"IRAP05-0340";;"CNRS";;;;;2574,94;;;21540000;;;;"460";;;;;"03/10/2005"
LECTEURS BANDES SDLT 320;"INFORMATIQUE";;"IRAP05-0341";;"CNRS";;;;;2475,00;;;21540000;;;;"461";;;;;"03/10/2005"
AMPLIFICATEUR;"ELECTRONIQUE";;"IRAP05-0342";;"CNRS";;;;;3270,16;;;21540000;;;;"462";;;;;"06/10/2005"
LATITUDE D610;"INFORMATIQUE";;"IRAP05-0343";;"CNRS";;;;;1382,10;;;21830000;;;;"463";;;;;"12/10/2005"
DELL PRECISION M20;"INFORMATIQUE";;"IRAP05-0344";;"CNRS";;;;;1459,43;;;21830000;;;;"466";;;;;"17/10/2005"
DELL PRECISION 670;"INFORMATIQUE";;"IRAP05-0345";;"CNRS";;;;;1817,85;;;21830000;;;;"467";;;;;"19/10/2005"
EQUIPT RESEAU INFORMATIQ;"INFORMATIQUE";;"IRAP05-0346";;"CNRS";;;;;12756,00;;;21830000;;;;"468";;;;;"04/11/2005"
EQUIPT RESEAU INFORMATIQ;"INFORMATIQUE";;"IRAP05-0347";;"CNRS";;;;;12756,00;;;21830000;;;;"469";;;;;"04/11/2005"
SONDE HT 1000X;"INSTRUMENTATION";;"IRAP05-0348";;"CNRS";;;;;1120,56;;;21540000;;;;"470";;;;;"07/11/2005"
POWERBOOK G4;"INFORMATIQUE";;"IRAP05-0349";;"CNRS";;;;;1781,28;;;21830000;;;;"471";;;;;"07/11/2005"
ECLATEUR MODELE;"INSTRUMENTATION";;"IRAP05-0350";;"CNRS";;;;;896,67;;;21540000;;;;"472";;;;;"10/11/2005"
DELL LATITUDE D610;"INFORMATIQUE";;"IRAP05-0351";;"CNRS";;;;;1552,90;;;21830000;;;;"473";;;;;"10/11/2005"
DELL PRECISION M70;"INFORMATIQUE";;"IRAP05-0352";;"CNRS";;;;;1790,00;;;21830000;;;;"474";;;;;"15/11/2005"
DELL PRECISION M70;"INFORMATIQUE";;"IRAP05-0353";;"CNRS";;;;;1790,00;;;21830000;;;;"475";;;;;"15/11/2005"
PC TRANSTEC;"INFORMATIQUE";;"IRAP05-0354";;"CNRS";;;;;3696,00;;;21830000;;;;"14040252000--726";;;;;"16/11/2005"
MODULE CAMERA ROSETTA;"INSTRUMENTATION";;"IRAP05-0355";;"CNRS";;;;;9000,00;;;21540000;;;;"14041482000--CNRS 741";;;;;"17/11/2005"
JAUGE A CATHODE FROIDE;"INSTRUMENTATION";;"IRAP05-0356";;"CNRS";;;;;873,60;;;21540000;;;;"14041484000--CNRS 742";;;;;"23/11/2005"
EQPT RESEAU INF 26722EUR;"INFORMATIQUE";;"IRAP05-0357";;"CNRS";;;;;1210,00;;;21830000;;;;"14041495000--CNRS 745";;;;;"23/11/2005"
BANC DE TEST DU LASER;"INSTRUMENTATION";;"IRAP05-0358";;"CNRS";;;;;4377,36;;;21540000;;;;"14050190000--753";;;;;"23/11/2005"
MULTI-CHANNEL BATTERY;"INSTRUMENTATION";;"IRAP05-0359";;"CNRS";;;;;12793,11;;;21540000;;;;"14050481000--CNRS 757";;;;;"23/11/2005"
UPGRAV SERVEUR 2600L;"INFORMATIQUE";;"IRAP05-0360";;"CNRS";;;;;2085,00;;;21830000;;;;"14050876000--CNRS 759";;;;;"05/12/2005"
SERVEUR TRANSTEC 2600L;"INFORMATIQUE";;"IRAP05-0361";;"CNRS";;;;;3972,00;;;21830000;;;;"14050476000--CNRS 76";;;;;"05/12/2005"
LATITUDE D810 ATI X600;"INFORMATIQUE";;"IRAP05-0362";;"CNRS";;;;;1446,10;;;21830000;;;;"14051153000--CNRS 768";;;;;"05/12/2005"
LATITUDE X1 PENTIUM M733;"INFORMATIQUE";;"IRAP05-0363";;"CNRS";;;;;1809,70;;;21830000;;;;"14051302000--CNRS 769";;;;;"05/12/2005"
PC TIMING BOARD;"INSTRUMENTATION";;"IRAP05-0364";;"CNRS";;;;;2155,73;;;21540000;;;;"14051303000--CNRS 770";;;;;"09/12/2005"
TGEN4 TIMING GENERATOR;"INSTRUMENTATION";;"IRAP05-0365";;"CNRS";;;;;13249,39;;;21540000;;;;"777";;;;;"09/12/2005"
SONY S4XP;;;"IRAP05-0366";;"CNRS";;;;;2773,00;;;21830000;;;;"14060519000--789/09";;;;;"12/12/2005"
POWERBOOK G4;"INFORMATIQUE";;"IRAP05-0367";;"CNRS";;;;;2083,02;;;21830000;;;;"14060738000--CNRS 797/09";;;;;"12/12/2005"
AMPLIFICATEUR DC;"ELECTRONIQUE";;"IRAP05-0368";;"CNRS";;;;;1317,50;;;21540000;;;;"14061175000--CNRS798/09";;;;;"13/12/2005"
Sondes TCP303  Current probe;"INSTRUMENTATION";;"IRAP05-0369";;;;;;;;;;;;;;"14061136000--CNRS 800/30";;;"SERAN ET THOCAVEN";;"2005 Chemcam"
SONDE DE COURANT;"INSTRUMENTATION";;"IRAP05-0370";;"CNRS";;;;;1547,00;;;21540000;;;;"804/09";;;;;"13/12/2005"
DELL PRECISION M70;"INFORMATIQUE";;"IRAP05-0371";;"CNRS";;;;;1859,40;;;21830000;;;;"805/09";;;;;"15/12/2005"
POWEREDGE SC 1425;"INFORMATIQUE";;"IRAP05-0372";;"CNRS";;;;;1575,00;;;21830000;;;;"806";;;;;"16/12/2005"
POWEREDGE SC 1425;"INFORMATIQUE";;"IRAP05-0373";;"CNRS";;;;;1575,00;;;21830000;;;;"810";;;;;"16/12/2005"
CTO PBOOK G4;"INFORMATIQUE";;"IRAP05-0374";;"CNRS";;;;;1443,00;;;21830000;;;;"812";;;;;"16/12/2005"
DELL PRECISION 380;"INFORMATIQUE";;"IRAP05-0375";;"CNRS";;;;;1775,15;;;21830000;;;;"813";;;;;"19/12/2005"
OPTIPLEX GX280;"INFORMATIQUE";;"IRAP05-0376";;"CNRS";;;;;1459,62;;;21830000;;;;"4319";;;;;"07/01/2005"
FILTRE INTERFERENTIEL;"INSTRUMENTATION";;"IRAP05-0377";;"CNRS";;;;;1091,46;;;21540000;;;;"4320";;;;;"26/01/2005"
PRECISION 370 N-SERIES;"INFORMATIQUE";;"IRAP05-0378";;"CNRS";;;;;1485,46;;;21830000;;;;"4321";;;;;"26/01/2005"
PRECISION 370 N-SERIES;"INFORMATIQUE";;"IRAP05-0379";;"CNRS";;;;;1485,46;;;21830000;;;;"4322";;;;;"26/01/2005"
PRECISION 370 N-SERIES;"INFORMATIQUE";;"IRAP05-0380";;"CNRS";;;;;1485,46;;;21830000;;;;"4323";;;;;"26/01/2005"
