DESIGNATION MATERIEL;"CATEGORIE";"SOUS CATEGORIE";"N° INV. IRAP";"DESCRIPTION";"Organisme (UPS ou CNRS)";"INVENTORIABLE";"TECHNIQUE";"STATUT";"NOM du FOURNISSEUR";"MONTANT";"ORIGINE CREDITS";"CDE";"CODE COMPTABLE";"REF. MATERIEL - N° série";"groupe thematique";"groupe technique";"Numéro inventaire organisme";"Lieu de stockage";"description lieu";"NOM RESPONSABLE PROJET";"Mail responsable";"Date de mise en service"
PHOTOMETRE NOVA 60 SPE;"INSTRUMENTATION";;"IRAP12-1115";;"CNRS";;;;"VWR";2083,75;"DOTATION ";"L06654";;;;;"14061322000--CNRS793/30";;;"BERGER";;31/03/2012
COFFRET DE REGULATION;"INSTRUMENTATION";;"IRAP12-1116";;"CNRS";;;;"PYROX THERMIQUE MATERIEL";4790,00;"RP ";"L05009";;;;;"29060577000--2006-109";;;"TOPLIS ET BLELLY";;26/03/2012
SUPPORT METALLIQUE;"INSTRUMENTATION";;"IRAP12-1117";;"CNRS";;;;"PYROX THERMIQUE MATERIEL";940,00;"RP ";"L05009";;;;;"29060585000--2006-111";;;"TOPLIS ET BLELLY";;26/03/2012
CENTRALE D'ACQUISAITION ;"INSTRUMENTATION";;"IRAP12-1118";;"CNRS";;;;"DISTRAME FRANCAISE D'INSTRUMENTATION";1067,11;321803;"L06510";;;;;"14060508000--795/02";;;"SERAN";;28/03/2012
CAT 2 - CONF - LATITUDE;"INFORMATIQUE";;"IRAP12-1119";;"CNRS";;;;"DELL ";1718,00;297844;"L06559";;;;;"29060586000--2006-110";;;"GASNAULT";;26/03/2012
JAUGE FULL RANGE PIRAN;"INSTRUMENTATION";;"IRAP12-1120";;"CNRS";;;;"AGILENT TECHNOLOGIES FRANCE AGILENT TECH";2898,84;"RP ";"L06507";;;;;"14060550000--794/10";;;"PIRENEA";;29/03/2012
PLATINE TRANSLATION;"INSTRUMENTATION";;"IRAP12-1121";;"CNRS";;;;"MICRO-CONTRÔLE NEWPORT";3160,00;"RP ";"L06723";;;;;"14060748000--INVT 113-06";;;"ATTEIA";;03/04/2012
TANGO UNISTAT 705;"INSTRUMENTATION";;"IRAP12-1122";;"CNRS";;;;"AVANTEC";16561,60;322201;"L05724";;;;;"14060525000--99-2006";;;"LACOMBE";;19/03/2012
POMPE A SPIRALES TRISCROLL;"INSTRUMENTATION";;"IRAP12-1123";;"CNRS";;;;"AGILENT TECHNOLOGIES FRANCE AGILENT TECH";4381,16;321803;"L05456";;;;;"14061395000--115-2006";;;"FEDOROV";;12/04/2012
STATION DE SOUDAGE WELLER;"INSTRUMENTATION";;"IRAP12-1124";;"CNRS";;;;"CLI";2000,00;321803;"L06557";;;;;"14061392000--1";;;"SERAN";;10/04/2012
